character,noise_level,occlusion_level,hebbian_kuramoto_total_time_ms,hebbian_kuramoto_iterations,hebbian_kuramoto_convergence_iteration,hebbian_kuramoto_convergence_time_ms,hebbian_kuramoto_mean_coherence,hebbian_kuramoto_max_coherence,hebbian_kuramoto_final_coherence,hebbian_kuramoto_pattern_count,hebbian_kuramoto_peak_memory_kb,predictive_hebbian_total_time_ms,predictive_hebbian_iterations,predictive_hebbian_convergence_iteration,predictive_hebbian_convergence_time_ms,predictive_hebbian_mean_coherence,predictive_hebbian_max_coherence,predictive_hebbian_final_coherence,predictive_hebbian_pattern_count,predictive_hebbian_peak_memory_kb
A,0.0,0.0,413.3907159169515,478.6666666666667,478.0,413.3516152699788,0.10579319810043146,0.16292367508037423,0.11363238213771826,0.0,33956.0,7200.074513753255,965.3333333333334,965.0,7200.055201848348,0.22167613093435082,0.3420561540059837,0.23806880984371195,0.0,34852.0
A,0.1,0.0,179.7797679901123,221.0,220.0,179.72898483276367,0.07440069172449076,0.09907329565209588,0.055777447194431645,0.0,34008.0,214.0040397644043,14.0,13.0,212.74113655090332,0.1144820370349342,0.11522477628242173,0.11423618897579735,0.0,34900.0
A,0.2,0.0,861.6020679473877,1000.0,1000.0,861.6020679473877,0.10741593472880656,0.20635391558785243,0.06623435810905712,0.0,34024.0,2717.733860015869,272.0,271.0,2717.658758163452,0.20845695935540332,0.2345369401523135,0.223547901020918,0.0,34904.0
A,0.0,0.1,788.4869575500488,1000.0,1000.0,788.4869575500488,0.07524137792668231,0.1846603255983845,0.06349549980875309,0.0,34032.0,3801.0129928588867,477.0,476.0,3800.940990447998,0.2254321346705269,0.3803094273817564,0.11835848420616546,0.0,34940.0
A,0.0,0.2,27.91595458984375,39.0,38.0,27.845144271850586,0.09769418190950176,0.09999875081759771,0.09999875081759771,0.0,34032.0,2891.432046890259,370.0,369.0,2891.3650512695312,0.24213114955474274,0.2953945642148354,0.2953945642148354,0.0,34956.0
B,0.0,0.0,750.9429454803467,576.0,575.3333333333334,750.9009043375651,0.09790246219748781,0.14188546053408124,0.1051919325931465,0.0,34042.666666666664,4286.54670715332,606.6666666666666,606.0,4286.492029825847,0.18656664792015057,0.3297422724332272,0.17904877856583168,0.0,34956.0
B,0.1,0.0,160.56084632873535,118.0,117.0,160.48002243041992,0.04509643954125673,0.0863868328049924,0.08637498964669812,0.0,34044.0,2927.8018474578857,412.0,411.0,2927.7429580688477,0.1801063946750072,0.24660700988130446,0.15431043287827406,0.0,34956.0
B,0.2,0.0,77.82220840454102,18.0,17.0,77.68607139587402,0.155878381768034,0.15633377651478694,0.15615448906268256,0.0,34048.0,6908.096075057983,1000.0,1000.0,6908.096075057983,0.22052847093446243,0.3545671715330747,0.24315567340483094,0.0,34956.0
B,0.0,0.1,9.797096252441406,10.0,9.0,9.752035140991211,0.16650063250904348,0.166591437049051,0.16627025941791976,0.0,34048.0,6316.465139389038,1000.0,1000.0,6316.465139389038,0.1839664735309349,0.3221816909579455,0.21566547908081948,0.0,34960.0
B,0.0,0.2,706.5050601959229,1000.0,1000.0,706.5050601959229,0.07864011756939833,0.18448739660272154,0.015786387445211242,0.0,34052.0,733.0138683319092,65.0,64.0,732.9528331756592,0.1520733586630495,0.17312264830103116,0.1728906894637503,0.0,34960.0
